어종명,연도,월,총마릿수,총중량(kg)
기름가자미,2024,03,0.0,0.0
기름가자미,2024,04,0.0,0.0
기름가자미,2024,05,0.0,0.0
기름가자미,2024,06,17.0,5.2
기름가자미,2024,07,0.0,0.0
기름가자미,2024,08,0.0,0.0
기름가자미,2024,09,0.0,0.0
기름가자미,2024,10,0.0,0.0
기타다랑어류,2023,01,0.0,0.0
기타다랑어류,2023,02,0.0,0.0
기타다랑어류,2023,03,16.0,46.2
기타다랑어류,2023,04,0.0,0.0
기타다랑어류,2023,05,0.0,0.0
기타다랑어류,2023,06,5.0,7.4
기타다랑어류,2023,07,0.0,0.0
기타다랑어류,2023,08,345.0,169.3
기타다랑어류,2023,09,63.0,126.3
기타다랑어류,2023,10,9.0,13.5
기타다랑어류,2023,11,387.0,928.5
기타다랑어류,2023,12,99.0,85.6
기타다랑어류,2024,01,0.0,0.0
기타다랑어류,2024,02,0.0,0.0
기타다랑어류,2024,03,3.0,2.4
기타다랑어류,2024,04,0.0,0.0
기타다랑어류,2024,05,52.0,88.3
기타다랑어류,2024,06,123.0,151.8
기타다랑어류,2024,07,57.0,36.4
기타다랑어류,2024,08,192.0,198.8
기타다랑어류,2024,09,378.0,856.4
기타다랑어류,2024,10,282.0,381.5
기타돔류,2023,01,4222.0,2860.2
기타돔류,2023,02,4234.0,2840.5
기타돔류,2023,03,5980.0,2472.0
기타돔류,2023,04,7208.0,2649.0
기타돔류,2023,05,13631.0,5609.2
기타돔류,2023,06,43623.0,24115.9
기타돔류,2023,07,54932.0,22035.3
기타돔류,2023,08,41737.0,16774.7
기타돔류,2023,09,25744.0,13444.5
기타돔류,2023,10,19433.0,9834.9
기타돔류,2023,11,13240.0,5728.9
기타돔류,2023,12,7580.0,3242.4
기타돔류,2024,01,4680.0,2372.9
기타돔류,2024,02,8066.0,4303.6
기타돔류,2024,03,23453.0,7764.1
기타돔류,2024,04,48939.0,18331.6
기타돔류,2024,05,126290.0,55708.1
기타돔류,2024,06,152016.0,64523.2
기타돔류,2024,07,53985.0,25175.4
기타돔류,2024,08,91913.0,40104.1
기타돔류,2024,09,58472.0,27207.0
기타돔류,2024,10,46548.0,20423.7
꽁치,2023,01,3558.0,481.9
꽁치,2023,02,9958.0,933.9
꽁치,2023,03,0.0,0.0
꽁치,2023,04,0.0,0.0
꽁치,2023,05,0.0,0.0
꽁치,2023,06,0.0,0.0
꽁치,2023,07,0.0,0.0
꽁치,2023,08,0.0,0.0
꽁치,2023,09,0.0,0.0
꽁치,2023,10,0.0,0.0
꽁치,2023,11,0.0,0.0
꽁치,2023,12,39972.0,1840.6
꽁치,2024,01,37015.0,2572.5
꽁치,2024,02,2922.0,66.4
꽁치,2024,03,133.0,6.7
꽁치,2024,04,0.0,0.0
꽁치,2024,05,0.0,0.0
꽁치,2024,06,0.0,0.0
꽁치,2024,07,0.0,0.0
꽁치,2024,08,0.0,0.0
꽁치,2024,09,0.0,0.0
꽁치,2024,10,0.0,0.0
넙치류(광어),2023,01,508.0,193.4
넙치류(광어),2023,02,134.0,302.4
넙치류(광어),2023,03,3813.0,6740.4
넙치류(광어),2023,04,34704.0,53646.0
넙치류(광어),2023,05,63085.0,123872.9
넙치류(광어),2023,06,39149.0,62719.8
넙치류(광어),2023,07,32253.0,41913.8
넙치류(광어),2023,08,37911.0,52060.0
넙치류(광어),2023,09,7630.0,7139.0
넙치류(광어),2023,10,15086.0,16069.8
넙치류(광어),2023,11,18132.0,21899.7
넙치류(광어),2023,12,4345.0,6065.3
넙치류(광어),2024,01,252.0,512.7
넙치류(광어),2024,02,172.0,378.0
넙치류(광어),2024,03,1297.0,1737.3
넙치류(광어),2024,04,20481.0,29512.7
넙치류(광어),2024,05,58582.0,115116.0
넙치류(광어),2024,06,32835.0,52079.1
넙치류(광어),2024,07,14037.0,23120.5
넙치류(광어),2024,08,19863.0,26558.1
넙치류(광어),2024,09,6722.0,10852.9
넙치류(광어),2024,10,5999.0,6346.2
농어류,2023,01,181.0,229.5
농어류,2023,02,118.0,180.9
농어류,2023,03,3577.0,6684.4
농어류,2023,04,8690.0,15640.7
농어류,2023,05,15239.0,24426.5
농어류,2023,06,28558.0,47629.5
농어류,2023,07,16379.0,25777.8
농어류,2023,08,17312.0,28618.9
농어류,2023,09,7505.0,9862.6
농어류,2023,10,6516.0,7724.1
농어류,2023,11,6581.0,8020.8
농어류,2023,12,891.0,1092.7
농어류,2024,01,2663.0,1662.1
농어류,2024,02,328.0,321.6
농어류,2024,03,1850.0,1107.1
농어류,2024,04,5225.0,7006.5
농어류,2024,05,22014.0,38689.8
농어류,2024,06,37138.0,80140.3
농어류,2024,07,18490.0,31193.9
농어류,2024,08,9476.0,15698.5
농어류,2024,09,4915.0,6521.9
농어류,2024,10,4462.0,5549.8
눈볼대,2023,01,697.0,356.2
눈볼대,2023,02,0.0,0.0
눈볼대,2023,03,0.0,0.0
눈볼대,2023,04,0.0,0.0
눈볼대,2023,05,0.0,0.0
눈볼대,2023,06,32.0,10.5
눈볼대,2023,07,0.0,0.0
눈볼대,2023,08,0.0,0.0
눈볼대,2023,09,0.0,0.0
눈볼대,2023,10,0.0,0.0
눈볼대,2023,11,0.0,0.0
눈볼대,2023,12,0.0,0.0
눈볼대,2024,01,0.0,0.0
눈볼대,2024,02,0.0,0.0
눈볼대,2024,03,0.0,0.0
눈볼대,2024,04,0.0,0.0
눈볼대,2024,05,0.0,0.0
눈볼대,2024,06,0.0,0.0
눈볼대,2024,07,0.0,0.0
눈볼대,2024,08,0.0,0.0
눈볼대,2024,09,0.0,0.0
눈볼대,2024,10,0.0,0.0
능성어,2023,01,18.0,19.4
능성어,2023,02,3.0,5.8
능성어,2023,03,0.0,0.0
능성어,2023,04,0.0,0.0
능성어,2023,05,543.0,429.5
능성어,2023,06,2.0,1.5
능성어,2023,07,2.0,3.4
능성어,2023,08,146.0,250.9
능성어,2023,09,26.0,25.4
능성어,2023,10,31.0,21.4
능성어,2023,11,60.0,25.5
능성어,2023,12,0.0,0.0
능성어,2024,01,0.0,0.0
능성어,2024,02,0.0,0.0
