품종,방류물량1,방류구분,연도,월
은어,20000,생산방류,2022,03
은어,136364,매입방류,2022,03
은어,106000,생산방류,2022,02
은어,55000,생산방류,2022,03
은어,55000,생산방류,2022,03
은어,50000,생산방류,2022,03
자바리,20000,생산방류,2022,10
점농어,136296,매입방류,2022,05
점농어,206186,매입방류,2022,04
점농어,136296,매입방류,2022,01
점농어,206186,매입방류,2022,01
점농어,352179,매입방류,2022,05
점농어,248466,매입방류,2022,04
점농어,75477,매입방류,2022,01
점농어,135000,매입방류,2022,05
점농어,93333,매입방류,2022,06
점농어,50000,매입방류,2022,06
점농어,74324,매입방류,2022,04
점농어,179592,매입방류,2022,04
주꾸미,100000,무상방류,2022,06
주꾸미,104000,생산방류,2022,06
주꾸미,214000,생산방류,2022,06
주꾸미,204000,생산방류,2022,06
주꾸미,40000,생산방류,2022,06
주꾸미,30000,생산방류,2022,07
주꾸미,30000,생산방류,2022,06
주꾸미,40000,생산방류,2022,06
주꾸미,30000,생산방류,2022,07
주꾸미,40000,생산방류,2022,06
주꾸미,30000,생산방류,2022,07
주꾸미,30000,생산방류,2022,06
주꾸미,40000,생산방류,2022,06
주꾸미,40000,생산방류,2022,06
주꾸미,30000,무상방류,2022,06
주꾸미,100000,무상방류,2022,06
주꾸미,150000,무상방류,2022,06
주꾸미,100000,무상방류,2022,06
주꾸미,100000,생산방류,2022,06
주꾸미,120000,생산방류,2022,07
주꾸미,100000,생산방류,2022,07
주꾸미,180000,생산방류,2022,06
주꾸미,170000,생산방류,2022,06
주꾸미,160000,생산방류,2022,06
쥐노래미,17890,매입방류,2022,06
쥐노래미,20000,생산방류,2022,07
쥐노래미,48739,매입방류,2022,06
쥐노래미,300000,무상방류,2022,05
쥐노래미,47000,무상방류,2022,05
쥐노래미,85000,무상방류,2022,05
쥐치,27706,매입방류,2022,06
참돔,10000,생산방류,2022,10
참돔,20000,생산방류,2022,07
참돔,50000,생산방류,2022,09
참돔,55889,매입방류,2022,07
참돔,85365,매입방류,2022,08
참돔,150450,매입방류,2022,05
참돔,400388,매입방류,2022,08
참돔,153812,매입방류,2022,07
참조기,1200000,매입방류,2022,06
참조기,430746,매입방류,2022,06
참조기,150000,매입방류,2022,06
참조기,450000,매입방류,2022,06
참조기,160000,생산방류,2022,08
참조기,80000,생산방류,2022,05
참조기,20000,생산방류,2022,07
참조기,50000,생산방류,2022,07
황복,374060,매입방류,2022,08
황복,170212,매입방류,2022,07
황복,169491,매입방류,2022,08
황복,374060,매입방류,2022,08
황복,58000,생산방류,2022,07
황어,30000,생산방류,2022,07
황어,500000,생산방류,2022,01
연어,4600000,생산방류,2023,02
연어,100000,생산방류,2023,01
연어,300000,생산방류,2023,02
연어,300000,생산방류,2023,02
연어,100000,생산방류,2023,02
연어,500000,생산방류,2023,02
연어,2000000,생산방류,2023,02
연어,1000000,생산방류,2023,02
점농어,177040,매입방류,2023,01
쥐노래미,69687,매입방류,2023,01
황어,500000,생산방류,2023,01
연어,500000,생산방류,2023,01
은어,72174,매입방류,2023,03
문치가자미,71000,매입방류,2023,09
대문어,20000,무상방류,2023,12
강도다리,61871,매입방류,2023,01
쥐노래미,17246,매입방류,2023,06
넙치,1173510,매입방류,2023,07
점농어,231847,매입방류,2023,01
돌돔,72400,매입방류,2023,01
돌돔,325819,매입방류,2023,01
점농어,99574,매입방류,2023,06
감성돔,217540,매입방류,2023,06
감성돔,115385,매입방류,2023,07
황복,277511,매입방류,2023,01
감성돔,98312,매입방류,2023,01
돌돔,149790,매입방류,2023,07
볼락,378258,매입방류,2023,01
도다리,175125,매입방류,2023,01
은어,207469,매입방류,2023,03
볼락,24692,생산방류,2023,05
꼼치,332260000,생산방류,2023,02
쥐노래미,300000,무상방류,2023,05
문치가자미,535000,무상방류,2023,07
개볼락,70000,무상방류,2023,09
문치가자미,64348,매입방류,2023,01
볼락,114943,매입방류,2023,01
감성돔,193209,매입방류,2023,01
문치가자미,71074,매입방류,2023,09
볼락,142242,매입방류,2023,06
주꾸미,840000,무상방류,2023,01
돌돔,117907,매입방류,2023,06
감성돔,299150,매입방류,2023,06
점농어,48094,매입방류,2023,01
점농어,48094,매입방류,2023,01
점농어,48094,매입방류,2023,01
감성돔,89600,매입방류,2023,01
감성돔,89600,매입방류,2023,01
감성돔,89600,매입방류,2023,01
연어,260000,생산방류,2023,02
황어,50000,생산방류,2023,07
명태,50000,생산방류,2023,12
문치가자미,26446,매입방류,2023,08
감성돔,59084,매입방류,2023,08
강도다리,79454,매입방류,2023,07
쥐노래미,54619,매입방류,2023,06
감성돔,129534,매입방류,2023,09
볼락,119905,매입방류,2023,01
박대,20000,무상방류,2023,11
참조기,195454,매입방류,2023,10
능성어,3508,매입방류,2023,10
왕우럭,149847,매입방류,2023,12
감성돔,86581,매입방류,2023,08
문치가자미,36187,매입방류,2023,07
볼락,46125,매입방류,2023,06
강도다리,94284,매입방류,2023,09
문치가자미,20594,매입방류,2023,07
돌돔,84250,매입방류,2023,01
돌돔,64643,매입방류,2023,01
돌돔,249610,매입방류,2023,01
낙지,10000,생산방류,2023,10
낙지,10000,생산방류,2023,10
낙지,10000,생산방류,2023,01
문치가자미,134569,매입방류,2023,09
감성돔,286534,매입방류,2023,06
참돔,302740,매입방류,2023,07
넙치,430639,매입방류,2023,07
넙치,474647,매입방류,2023,07
참조기,70000,생산방류,2023,01
능성어,10000,생산방류,2023,01
